Year,Month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film Noir,Game Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2006,October,0.70687,0.0,0.59123,0.56287,0.7984,0.4907,0.58931,0.42033,0.50878,0.60713,0.66241,0,0,0.67942,0.48815,0.53713,0.38815,0.70379,0.63033,0,0.48322,0.41114,0.4872,0.74822,0,0.63443,0.51106,0.55924
2006,November,0.71128,0,0.68622,0.55342,0.6855,0.53742,0.60738,0.3846,0.50994,0.60496,0.6585,0,0,0.69473,0.46902,0.68368,0.58737,0.62523,0.21939,0,0.51258,0.48023,0.53316,0.63776,0,0.65781,0.48367,0.71939
2006,December,0.67261,0,0.7039,0.47708,0.55712,0.57171,0.465,0.3066,0.50598,0.64483,0.68522,0,0,0.64528,0.60657,0.72549,0.55829,0.5488,0.0,0,0.50279,0.59893,0.53155,0.7099,0,0.60574,0.44831,0.52673
2007,January,0.68909,0,0.70828,0.57151,0.66068,0.5188,0.57006,0.28662,0.53001,0.59236,0.61624,0,0,0.62675,0.52468,0.6327,0.46879,0.48726,0,0,0.52677,0.64586,0.55308,0.80043,0,0.57407,0.56971,0.43153
2007,February,0.64811,0,0.67648,0.54459,0.62748,0.48956,0.63884,0.29853,0.5264,0.52799,0.60478,0,0,0.67548,0.57374,0.62576,0.55065,0.49752,0,0,0.56659,0.61576,0.59091,0.73636,0,0.66667,0.61091,0.44394
2007,March,0.64454,0,0.65939,0.6387,0.65564,0.53913,0.49575,0.30899,0.51004,0.6068,0.62011,0,0,0.62275,0.60317,0.8201,0.51756,0.64358,0,0,0.53284,0.72487,0.58289,0.61045,0,0.59096,0.48113,0.35318
2007,April,0.78995,0,0.66876,0.67663,0.63152,0.52924,0.56151,0.37616,0.4885,0.63107,0.60412,0,0,0.58859,0.69402,0.65218,0.3918,0.62874,0,0,0.48494,0.84472,0.68025,0.59239,0,0.66807,0.53377,0.2337
2007,May,0.74042,0,0.61719,0.66435,0.51354,0.55066,0.52197,0.37944,0.47246,0.63672,0.60888,0,0,0.49016,0.69744,0.52864,0.37292,0.66797,0,0,0.50012,0.72727,0.7,0.7625,0,0.6023,0.4839,0.09028
2007,June,0.66808,0,0.63509,0.70469,0.57166,0.57544,0.49243,0.36788,0.45786,0.6984,0.65419,0,0,0.63957,0.64385,0.28342,0.39929,0.63191,0,0,0.50826,0.6492,0.62781,0.75508,0,0.61869,0.48182,0.1016
2007,July,0.6656,0,0.63869,0.701,0.61348,0.574,0.52681,0.43748,0.44183,0.6244,0.64572,0,0,0.63371,0.61236,0.48689,0.56531,0.5824,0,0,0.53301,0.59162,0.64419,0.59738,0,0.62921,0.54557,0.15169
2007,August,0.68304,0,0.72783,0.78465,0.59735,0.58887,0.5003,0.39882,0.44098,0.72526,0.5702,0,0,0.57601,0.50083,0.59204,0.52861,0.51282,0,0,0.51159,0.58564,0.5398,0.76741,0,0.52277,0.58955,0.41294
2007,September,0.76963,0,0.66088,0.61959,0.61975,0.55685,0.63273,0.38781,0.43466,0.65292,0.61888,0,0,0.57887,0.7025,0.6323,0.46075,0.52938,0,0,0.48922,0.58866,0.58634,0.66495,0,0.6134,0.4942,0.58763
2007,October,0.69666,0,0.64959,0.68927,0.52506,0.51494,0.64662,0.39969,0.47886,0.6625,0.55476,0,0,0.64237,0.7479,0.55391,0.50842,0.61557,0,0,0.52062,0.51321,0.59119,0.63627,0,0.62592,0.52653,0.87972
